State,Total,Black,White,Hispanic,Asian
Alabama,41,44,42,26,
Alaska,38,,37,,
Arkansas,50,58,51,39,
Arizona,36,24,42,31,60
California,48,51,55,42,56
Colorado,51,52,54,42,76
Connecticut,62,75,67,46,40
Delaware,43,46,49,,
Florida,50,52,53,45,50
Georgia,48,52,51,33,50
Hawaii,54,,48,58,45
Iowa,49,,52,31,
Idaho,29,,31,20,
Illinois,51,55,54,40,54
Indiana,36,45,37,22,
Kansas,42,49,44,33,
Kentucky,42,36,42,36,
Louisiana,49,44,52,52,
Maine,45,,45,,
Maryland,47,43,52,39,64
Massachusetts,59,61,62,44,56
Michigan,46,44,47,40,45
Minnesota,48,39,49,47,53
Missouri,44,41,45,39,
Mississippi,47,61,39,,
Montana,33,,32,,
North Carolina,44,38,48,36,60
North Dakota,39,,39,,
Nebraska,38,,38,43,
New Hampshire,59,,59,,
New Jersey,62,62,66,56,62
New Mexico,37,,40,31,
Nevada,32,24,37,26,43
New York,56,63,58,48,56
Ohio,46,51,45,46,
Oklahoma,39,50,40,31,
Oregon,41,,40,41,
Pennsylvania,46,48,46,37,63
Rhode Island,44,,50,28,
South Carolina,42,46,42,33,
South Dakota,37,,38,,
Tennessee,38,38,38,32,
Texas,41,44,47,36,50
Utah,42,,44,31,
Virginia,45,43,49,32,58
Vermont,54,,56,,
Washington,38,39,42,25,51
Wisconsin,45,45,44,48,
West Virginia,37,,35,,
Wyoming,43,,41,,
