state,spent,minNeeded,difference
DC,15372,11214,4158
New Jersey,12157,9543,2614
Connecticut,11441,8763,2678
Rhode Island,9763,9015,748
West Virginia,8799,7172,1627
Oregon,8471,4801,3670
Minnesota,8074,4561,3513
Oklahoma,7678,7041,637
North Carolina,7351,8450,1100
Delaware,7295,4898,2397
Kentucky,6818,4302,2516
Washington,6658,5450,1208
Alabama,6507,8025,1518
Alaska,6137,4705,1432
Maine,5968,4080,1888
Tennessee,5895,8183,2289
Virginia,5893,9588,3695
Pennsylvania,5788,6249,0
Michigan,5704,6568,864
Wisconsin,5699,4488,1211
Arkansas,5544,7448,1905
California,4981,6726,1745
Louisiana,4667,8193,3527
Maryland,4500,6726,2226
Vermont,4273,4175,98
Ohio,4000,4544,544
Massachusetts,3958,9139,5182
New York,3820,6928,3108
Georgia,3746,8749,5003
Illinois,3674,4992,1317
Colorado,3579,4625,1046
New Mexico,3555,4434,879
Texas,3533,5013,1479
Iowa,3241,4301,1060
Nevada,3157,4904,1746
Nebraska,2283,4083,1800
Florida,2238,4456,2217
Kansas,2110,4186,2076
Missouri,2009,6694,4685
South Carolina,1817,5428,3611
Arizona,1543,4536,3003
