state,year,expenditures
Total,Year 1996,8141
Total,Year 1997,8241
Total,Year 1998,8460
Total,Year 1999,8745
Total,Year 2000,9027
Total,Year 2001,9319
Total,Year 2002,9588
Total,Year 2003,9766
Total,Year 2004,9873
Total,Year 2005,10047
Total,Year 2006,10160
Total,Year 2007,10483
Total,Year 2008,10755
Total,Year 2009,10824
Total,Year 2010,10835
Total,Year 2011,10658
Alabama,Year 1996,6214
Alabama,Year 1997,6392
Alabama,Year 1998,6629
Alabama,Year 1999,6970
Alabama,Year 2000,7363
Alabama,Year 2001,7431
Alabama,Year 2002,7480
Alabama,Year 2003,7648
Alabama,Year 2004,7819
Alabama,Year 2005,8158
Alabama,Year 2006,8536
Alabama,Year 2007,9095
Alabama,Year 2008,9604
Alabama,Year 2009,9232
Alabama,Year 2010,9086
Alabama,Year 2011,8726
Alaska,Year 1996,11718
Alaska,Year 1997,11452
Alaska,Year 1998,11305
Alaska,Year 1999,11291
Alaska,Year 2000,11501
Alaska,Year 2001,11637
Alaska,Year 2002,11865
Alaska,Year 2003,11983
Alaska,Year 2004,12018
Alaska,Year 2005,12510
Alaska,Year 2006,12750
Alaska,Year 2007,13348
Alaska,Year 2008,15290
Alaska,Year 2009,15823
Alaska,Year 2010,16147
Alaska,Year 2011,16663
Arizona,Year 1996,6405
Arizona,Year 1997,6140
Arizona,Year 1998,6281
Arizona,Year 1999,6278
Arizona,Year 2000,6569
Arizona,Year 2001,6972
Arizona,Year 2002,7260
Arizona,Year 2003,7628
Arizona,Year 2004,7128
Arizona,Year 2005,7274
Arizona,Year 2006,7238
Arizona,Year 2007,7924
Arizona,Year 2008,8070
Arizona,Year 2009,8263
Arizona,Year 2010,8128
Arizona,Year 2011,7782
Arkansas,Year 1996,6298
Arkansas,Year 1997,6310
Arkansas,Year 1998,6436
Arkansas,Year 1999,6659
Arkansas,Year 2000,6892
Arkansas,Year 2001,7030
Arkansas,Year 2002,7787
Arkansas,Year 2003,7870
Arkansas,Year 2004,8128
Arkansas,Year 2005,8833
Arkansas,Year 2006,8922
Arkansas,Year 2007,9088
Arkansas,Year 2008,9062
Arkansas,Year 2009,9119
Arkansas,Year 2010,9467
Arkansas,Year 2011,9496
California,Year 1996,7065
California,Year 1997,7318
California,Year 1998,7715
California,Year 1999,7795
California,Year 2000,8246
California,Year 2001,8823
California,Year 2002,9188
California,Year 2003,9169
California,Year 2004,9116
California,Year 2005,9117
California,Year 2006,9223
California,Year 2007,9695
California,Year 2008,10136
California,Year 2009,9787
California,Year 2010,9487
California,Year 2011,9146
Colorado,Year 1996,7327
Colorado,Year 1997,7390
Colorado,Year 1998,7732
Colorado,Year 1999,7958
Colorado,Year 2000,8117
Colorado,Year 2001,8293
Colorado,Year 2002,8611
Colorado,Year 2003,8964
Colorado,Year 2004,8885
Colorado,Year 2005,9026
Colorado,Year 2006,9073
Colorado,Year 2007,8974
Colorado,Year 2008,9558
Colorado,Year 2009,9045
Colorado,Year 2010,9105
Colorado,Year 2011,8786
Connecticut,Year 1996,12063
Connecticut,Year 1997,11937
Connecticut,Year 1998,12167
Connecticut,Year 1999,12520
Connecticut,Year 2000,12736
Connecticut,Year 2001,12787
Connecticut,Year 2002,13123
Connecticut,Year 2003,13424
Connecticut,Year 2004,13586
Connecticut,Year 2005,14143
Connecticut,Year 2006,14523
Connecticut,Year 2007,14793
Connecticut,Year 2008,15258
Connecticut,Year 2009,15813
Connecticut,Year 2010,16014
Connecticut,Year 2011,16224
Delaware,Year 1996,9582
Delaware,Year 1997,9926
Delaware,Year 1998,10142
Delaware,Year 1999,10354
Delaware,Year 2000,10852
Delaware,Year 2001,11311
Delaware,Year 2002,11519
Delaware,Year 2003,11768
Delaware,Year 2004,12132
Delaware,Year 2005,12584
Delaware,Year 2006,12912
Delaware,Year 2007,12736
Delaware,Year 2008,12691
Delaware,Year 2009,12471
Delaware,Year 2010,12468
Delaware,Year 2011,12467
DC,Year 1996,12178
DC,Year 1997,11197
DC,Year 1998,11473
DC,Year 1999,12966
DC,Year 2000,13199
DC,Year 2001,15211
DC,Year 2002,15016
DC,Year 2003,14382
DC,Year 2004,15396
DC,Year 2005,16049
DC,Year 2006,15278
DC,Year 2007,16799
DC,Year 2008,17078
DC,Year 2009,20288
DC,Year 2010,21330
DC,Year 2011,20793
Florida,Year 1996,7549
Florida,Year 1997,7458
Florida,Year 1998,7589
Florida,Year 1999,7779
Florida,Year 2000,7615
Florida,Year 2001,7791
Florida,Year 2002,7709
Florida,Year 2003,7817
Florida,Year 2004,8071
Florida,Year 2005,8321
Florida,Year 2006,8679
Florida,Year 2007,9278
Florida,Year 2008,9486
Florida,Year 2009,9132
Florida,Year 2010,9041
Florida,Year 2011,9030
Georgia,Year 1996,7236
Georgia,Year 1997,7469
Georgia,Year 1998,7719
Georgia,Year 1999,8186
Georgia,Year 2000,8407
Georgia,Year 2001,8749
Georgia,Year 2002,9157
Georgia,Year 2003,9438
Georgia,Year 2004,9198
Georgia,Year 2005,9302
Georgia,Year 2006,9550
Georgia,Year 2007,9858
Georgia,Year 2008,10148
Georgia,Year 2009,9938
Georgia,Year 2010,9622
Georgia,Year 2011,9259
Hawaii,Year 1996,7956
Hawaii,Year 1997,7837
Hawaii,Year 1998,8007
Hawaii,Year 1999,8171
Hawaii,Year 2000,8528
Hawaii,Year 2001,8328
Hawaii,Year 2002,9065
Hawaii,Year 2003,9834
Hawaii,Year 2004,10138
Hawaii,Year 2005,10376
Hawaii,Year 2006,10973
Hawaii,Year 2007,12256
Hawaii,Year 2008,12323
Hawaii,Year 2009,12771
Hawaii,Year 2010,11949
Hawaii,Year 2011,11924
Idaho,Year 1996,6002
Idaho,Year 1997,6187
Idaho,Year 1998,6453
Idaho,Year 1999,6807
Idaho,Year 2000,6941
Idaho,Year 2001,7228
Idaho,Year 2002,7458
Idaho,Year 2003,7383
Idaho,Year 2004,7328
Idaho,Year 2005,7288
Idaho,Year 2006,7188
Idaho,Year 2007,7200
Idaho,Year 2008,7259
Idaho,Year 2009,7331
Idaho,Year 2010,7243
Idaho,Year 2011,6821
Illinois,Year 1996,7898
Illinois,Year 1997,8265
Illinois,Year 1998,8532
Illinois,Year 1999,9086
Illinois,Year 2000,9315
Illinois,Year 2001,9636
Illinois,Year 2002,9872
Illinois,Year 2003,10061
Illinois,Year 2004,10225
Illinois,Year 2005,10260
Illinois,Year 2006,10125
Illinois,Year 2007,10393
Illinois,Year 2008,10812
Illinois,Year 2009,11429
Illinois,Year 2010,11974
Illinois,Year 2011,11742
Indiana,Year 1996,8044
Indiana,Year 1997,8571
Indiana,Year 1998,8636
Indiana,Year 1999,9099
Indiana,Year 2000,9393
Indiana,Year 2001,9635
Indiana,Year 2002,9596
Indiana,Year 2003,9782
Indiana,Year 2004,10017
Indiana,Year 2005,10286
Indiana,Year 2006,9920
Indiana,Year 2007,9834
Indiana,Year 2008,9260
Indiana,Year 2009,9531
Indiana,Year 2010,9669
Indiana,Year 2011,9251
Iowa,Year 1996,7843
Iowa,Year 1997,7983
Iowa,Year 1998,8199
Iowa,Year 1999,8389
Iowa,Year 2000,8572
Iowa,Year 2001,8750
Iowa,Year 2002,9104
Iowa,Year 2003,9195
Iowa,Year 2004,9060
Iowa,Year 2005,9183
Iowa,Year 2006,9282
Iowa,Year 2007,9521
Iowa,Year 2008,9942
Iowa,Year 2009,9995
Iowa,Year 2010,9943
Iowa,Year 2011,9795
Kansas,Year 1996,7690
Kansas,Year 1997,7664
Kansas,Year 1998,7829
Kansas,Year 1999,8082
Kansas,Year 2000,8219
Kansas,Year 2001,8759
Kansas,Year 2002,9106
Kansas,Year 2003,9050
Kansas,Year 2004,9238
Kansas,Year 2005,9141
Kansas,Year 2006,9599
Kansas,Year 2007,10010
Kansas,Year 2008,10333
Kansas,Year 2009,10509
Kansas,Year 2010,10172
Kansas,Year 2011,9802
Kentucky,Year 1996,6878
Kentucky,Year 1997,7172
Kentucky,Year 1998,7126
Kentucky,Year 1999,7575
Kentucky,Year 2000,7732
Kentucky,Year 2001,7675
Kentucky,Year 2002,8094
Kentucky,Year 2003,8087
Kentucky,Year 2004,8155
Kentucky,Year 2005,8226
Kentucky,Year 2006,8520
Kentucky,Year 2007,8600
Kentucky,Year 2008,9127
Kentucky,Year 2009,9049
Kentucky,Year 2010,9137
Kentucky,Year 2011,9228
Louisiana,Year 1996,6363
Louisiana,Year 1997,6572
Louisiana,Year 1998,7090
Louisiana,Year 1999,7455
Louisiana,Year 2000,7580
Louisiana,Year 2001,7623
Louisiana,Year 2002,8148
Louisiana,Year 2003,8404
Louisiana,Year 2004,8638
Louisiana,Year 2005,8845
Louisiana,Year 2006,9428
Louisiana,Year 2007,9679
Louisiana,Year 2008,10450
Louisiana,Year 2009,10943
Louisiana,Year 2010,10916
Louisiana,Year 2011,10799
Maine,Year 1996,8803
Maine,Year 1997,8941
Maine,Year 1998,9216
Maine,Year 1999,9614
Maine,Year 2000,10013
Maine,Year 2001,10395
Maine,Year 2002,10940
Maine,Year 2003,11344
Maine,Year 2004,11579
Maine,Year 2005,11928
Maine,Year 2006,12045
Maine,Year 2007,12611
Maine,Year 2008,12283
Maine,Year 2009,12547
Maine,Year 2010,12702
Maine,Year 2011,12576
Maryland,Year 1996,9435
Maryland,Year 1997,9398
Maryland,Year 1998,9615
Maryland,Year 1999,9843
Maryland,Year 2000,10097
Maryland,Year 2001,10429
Maryland,Year 2002,10784
Maryland,Year 2003,11112
Maryland,Year 2004,11207
Maryland,Year 2005,11569
Maryland,Year 2006,12120
Maryland,Year 2007,12984
Maryland,Year 2008,13844
Maryland,Year 2009,14148
Maryland,Year 2010,14288
Maryland,Year 2011,14123
Massachusetts,Year 1996,10064
Massachusetts,Year 1997,10200
Massachusetts,Year 1998,10632
Massachusetts,Year 1999,11098
Massachusetts,Year 2000,11513
Massachusetts,Year 2001,12007
Massachusetts,Year 2002,12695
Massachusetts,Year 2003,12699
Massachusetts,Year 2004,13086
Massachusetts,Year 2005,13428
Massachusetts,Year 2006,13429
Massachusetts,Year 2007,13846
Massachusetts,Year 2008,14297
Massachusetts,Year 2009,14970
Massachusetts,Year 2010,14994
Massachusetts,Year 2011,14285
Michigan,Year 1996,9710
Michigan,Year 1997,9645
Michigan,Year 1998,9636
Michigan,Year 1999,9986
Michigan,Year 2000,10591
Michigan,Year 2001,10453
Michigan,Year 2002,10736
Michigan,Year 2003,10660
Michigan,Year 2004,10804
Michigan,Year 2005,10772
Michigan,Year 2006,10638
Michigan,Year 2007,10696
Michigan,Year 2008,10521
Michigan,Year 2009,10683
Michigan,Year 2010,10656
Michigan,Year 2011,10577
Minnesota,Year 1996,8301
Minnesota,Year 1997,8355
Minnesota,Year 1998,8731
Minnesota,Year 1999,9156
Minnesota,Year 2000,9390
Minnesota,Year 2001,9653
Minnesota,Year 2002,9599
Minnesota,Year 2003,9845
Minnesota,Year 2004,9985
Minnesota,Year 2005,10055
Minnesota,Year 2006,10176
Minnesota,Year 2007,10385
Minnesota,Year 2008,10506
Minnesota,Year 2009,11312
Minnesota,Year 2010,10879
Minnesota,Year 2011,10674
Mississippi,Year 1996,5654
Mississippi,Year 1997,5620
Mississippi,Year 1998,5861
Mississippi,Year 1999,6133
Mississippi,Year 2000,6547
Mississippi,Year 2001,6534
Mississippi,Year 2002,6643
Mississippi,Year 2003,7032
Mississippi,Year 2004,7365
Mississippi,Year 2005,7552
Mississippi,Year 2006,7969
Mississippi,Year 2007,8078
Mississippi,Year 2008,8239
Mississippi,Year 2009,8306
Mississippi,Year 2010,8266
Mississippi,Year 2011,7926
Missouri,Year 1996,7286
Missouri,Year 1997,7379
Missouri,Year 1998,7607
Missouri,Year 1999,7867
Missouri,Year 2000,8080
Missouri,Year 2001,8406
Missouri,Year 2002,8853
Missouri,Year 2003,9099
Missouri,Year 2004,8960
Missouri,Year 2005,9063
Missouri,Year 2006,9192
Missouri,Year 2007,9582
Missouri,Year 2008,9955
Missouri,Year 2009,9905
Missouri,Year 2010,9916
Missouri,Year 2011,9461
Montana,Year 1996,7511
Montana,Year 1997,7625
Montana,Year 1998,7824
Montana,Year 1999,8026
Montana,Year 2000,8245
Montana,Year 2001,8493
Montana,Year 2002,8762
Montana,Year 2003,9100
Montana,Year 2004,9296
Montana,Year 2005,9380
Montana,Year 2006,9584
Montana,Year 2007,9955
Montana,Year 2008,10220
Montana,Year 2009,10423
Montana,Year 2010,10778
Montana,Year 2011,10719
Nebraska,Year 1996,8140
Nebraska,Year 1997,8136
Nebraska,Year 1998,8144
Nebraska,Year 1999,8406
Nebraska,Year 2000,8728
Nebraska,Year 2001,9121
Nebraska,Year 2002,9605
Nebraska,Year 2003,9802
Nebraska,Year 2004,10041
Nebraska,Year 2005,10142
Nebraska,Year 2006,10359
Nebraska,Year 2007,10904
Nebraska,Year 2008,11033
Nebraska,Year 2009,11171
Nebraska,Year 2010,11690
Nebraska,Year 2011,11540
Nevada,Year 1996,7001
Nevada,Year 1997,7074
Nevada,Year 1998,7238
Nevada,Year 1999,7507
Nevada,Year 2000,7522
Nevada,Year 2001,7332
Nevada,Year 2002,7542
Nevada,Year 2003,7396
Nevada,Year 2004,7616
Nevada,Year 2005,7848
Nevada,Year 2006,7974
Nevada,Year 2007,8443
Nevada,Year 2008,8549
Nevada,Year 2009,8570
Nevada,Year 2010,8545
Nevada,Year 2011,8411
New Hampshire,Year 1996,8214
New Hampshire,Year 1997,8236
New Hampshire,Year 1998,8415
New Hampshire,Year 1999,8644
New Hampshire,Year 2000,8959
New Hampshire,Year 2001,9200
New Hampshire,Year 2002,9845
New Hampshire,Year 2003,10415
New Hampshire,Year 2004,10884
New Hampshire,Year 2005,11269
New Hampshire,Year 2006,11550
New Hampshire,Year 2007,11953
New Hampshire,Year 2008,12480
New Hampshire,Year 2009,12960
New Hampshire,Year 2010,13334
New Hampshire,Year 2011,13548
New Jersey,Year 1996,13395
New Jersey,Year 1997,13339
New Jersey,Year 1998,13181
New Jersey,Year 1999,13632
New Jersey,Year 2000,13500
New Jersey,Year 2001,14203
New Jersey,Year 2002,14632
New Jersey,Year 2003,15258
New Jersey,Year 2004,15846
New Jersey,Year 2005,16282
New Jersey,Year 2006,16615
New Jersey,Year 2007,17505
New Jersey,Year 2008,18401
New Jersey,Year 2009,17481
New Jersey,Year 2010,17728
New Jersey,Year 2011,16855
New Mexico,Year 1996,6588
New Mexico,Year 1997,6514
New Mexico,Year 1998,6841
New Mexico,Year 1999,7309
New Mexico,Year 2000,7608
New Mexico,Year 2001,7971
New Mexico,Year 2002,8539
New Mexico,Year 2003,8650
New Mexico,Year 2004,8995
New Mexico,Year 2005,9035
New Mexico,Year 2006,9281
New Mexico,Year 2007,9584
New Mexico,Year 2008,9703
New Mexico,Year 2009,9937
New Mexico,Year 2010,9814
New Mexico,Year 2011,9250
New York,Year 1996,11965
New York,Year 1997,11861
New York,Year 1998,12100
New York,Year 1999,12556
New York,Year 2000,12858
New York,Year 2001,13530
New York,Year 2002,13918
New York,Year 2003,14522
New York,Year 2004,15015
New York,Year 2005,15805
New York,Year 2006,16238
New York,Year 2007,16837
New York,Year 2008,17539
New York,Year 2009,18278
New York,Year 2010,18532
New York,Year 2011,18834
North Carolina,Year 1996,6753
North Carolina,Year 1997,6858
North Carolina,Year 1998,7185
North Carolina,Year 1999,7600
North Carolina,Year 2000,7895
North Carolina,Year 2001,8006
North Carolina,Year 2002,8059
North Carolina,Year 2003,7967
North Carolina,Year 2004,7856
North Carolina,Year 2005,8186
North Carolina,Year 2006,8217
North Carolina,Year 2007,8532
North Carolina,Year 2008,8144
North Carolina,Year 2009,8716
North Carolina,Year 2010,8390
North Carolina,Year 2011,8267
North Dakota,Year 1996,6693
North Dakota,Year 1997,6689
North Dakota,Year 1998,6910
North Dakota,Year 1999,7312
North Dakota,Year 2000,7401
North Dakota,Year 2001,7733
North Dakota,Year 2002,8324
North Dakota,Year 2003,8340
North Dakota,Year 2004,8712
North Dakota,Year 2005,9549
North Dakota,Year 2006,9697
North Dakota,Year 2007,9391
North Dakota,Year 2008,9737
North Dakota,Year 2009,10096
North Dakota,Year 2010,10730
North Dakota,Year 2011,10898
Ohio,Year 1996,8112
Ohio,Year 1997,8257
Ohio,Year 1998,8472
Ohio,Year 1999,8854
Ohio,Year 2000,9226
Ohio,Year 2001,9560
Ohio,Year 2002,10011
Ohio,Year 2003,10480
Ohio,Year 2004,10727
Ohio,Year 2005,10761
Ohio,Year 2006,10768
Ohio,Year 2007,10762
Ohio,Year 2008,10798
Ohio,Year 2009,10989
Ohio,Year 2010,11449
Ohio,Year 2011,11395
Oklahoma,Year 1996,6510
Oklahoma,Year 1997,6702
Oklahoma,Year 1998,6879
Oklahoma,Year 1999,7125
Oklahoma,Year 2000,7045
Oklahoma,Year 2001,7600
Oklahoma,Year 2002,7729
Oklahoma,Year 2003,7396
Oklahoma,Year 2004,7311
Oklahoma,Year 2005,7624
Oklahoma,Year 2006,7712
Oklahoma,Year 2007,8047
Oklahoma,Year 2008,8023
Oklahoma,Year 2009,8114
Oklahoma,Year 2010,8089
Oklahoma,Year 2011,7631
Oregon,Year 1996,8286
Oregon,Year 1997,8236
Oregon,Year 1998,8774
Oregon,Year 1999,9174
Oregon,Year 2000,9336
Oregon,Year 2001,9506
Oregon,Year 2002,9482
Oregon,Year 2003,9095
Oregon,Year 2004,9050
Oregon,Year 2005,9309
Oregon,Year 2006,9605
Oregon,Year 2007,9702
Oregon,Year 2008,9989
Oregon,Year 2009,9898
Oregon,Year 2010,9454
Oregon,Year 2011,9516
Pennsylvania,Year 1996,9906
Pennsylvania,Year 1997,9886
Pennsylvania,Year 1998,9854
Pennsylvania,Year 1999,10010
Pennsylvania,Year 2000,10150
Pennsylvania,Year 2001,10367
Pennsylvania,Year 2002,10592
Pennsylvania,Year 2003,10922
Pennsylvania,Year 2004,11534
Pennsylvania,Year 2005,11805
Pennsylvania,Year 2006,11914
Pennsylvania,Year 2007,11811
Pennsylvania,Year 2008,12262
Pennsylvania,Year 2009,12668
Pennsylvania,Year 2010,12984
Pennsylvania,Year 2011,13096
Rhode Island,Year 1996,10452
Rhode Island,Year 1997,10591
Rhode Island,Year 1998,10837
Rhode Island,Year 1999,11145
Rhode Island,Year 2000,11629
Rhode Island,Year 2001,11762
Rhode Island,Year 2002,12038
Rhode Island,Year 2003,12564
Rhode Island,Year 2004,13161
Rhode Island,Year 2005,13456
Rhode Island,Year 2006,14009
Rhode Island,Year 2007,14570
Rhode Island,Year 2008,15100
Rhode Island,Year 2009,15160
Rhode Island,Year 2010,15019
Rhode Island,Year 2011,14948
South Carolina,Year 1996,6839
South Carolina,Year 1997,7026
South Carolina,Year 1998,7271
South Carolina,Year 1999,7600
South Carolina,Year 2000,8005
South Carolina,Year 2001,8373
South Carolina,Year 2002,8706
South Carolina,Year 2003,8546
South Carolina,Year 2004,8526
South Carolina,Year 2005,8707
South Carolina,Year 2006,9022
South Carolina,Year 2007,9213
South Carolina,Year 2008,9462
South Carolina,Year 2009,9504
South Carolina,Year 2010,9262
South Carolina,Year 2011,8903
South Dakota,Year 1996,6039
South Dakota,Year 1997,6103
South Dakota,Year 1998,6382
South Dakota,Year 1999,7066
South Dakota,Year 2000,7355
South Dakota,Year 2001,7817
South Dakota,Year 2002,7970
South Dakota,Year 2003,7948
South Dakota,Year 2004,8397
South Dakota,Year 2005,8609
South Dakota,Year 2006,8639
South Dakota,Year 2007,8733
South Dakota,Year 2008,8913
South Dakota,Year 2009,8799
South Dakota,Year 2010,9201
South Dakota,Year 2011,8931
Tennessee,Year 1996,5970
Tennessee,Year 1997,6374
Tennessee,Year 1998,6749
Tennessee,Year 1999,6884
Tennessee,Year 2000,7030
Tennessee,Year 2001,7181
Tennessee,Year 2002,7379
Tennessee,Year 2003,7427
Tennessee,Year 2004,7682
Tennessee,Year 2005,7901
Tennessee,Year 2006,7782
Tennessee,Year 2007,7721
Tennessee,Year 2008,8166
Tennessee,Year 2009,8232
Tennessee,Year 2010,8280
Tennessee,Year 2011,8484
Texas,Year 1996,7178
Texas,Year 1997,7328
Texas,Year 1998,7442
Texas,Year 1999,7639
Texas,Year 2000,8211
Texas,Year 2001,8257
Texas,Year 2002,8401
Texas,Year 2003,8664
Texas,Year 2004,8495
Texas,Year 2005,8357
Texas,Year 2006,8311
Texas,Year 2007,8502
Texas,Year 2008,8720
Texas,Year 2009,8818
Texas,Year 2010,8964
Texas,Year 2011,8685
Utah,Year 1996,5158
Utah,Year 1997,5263
Utah,Year 1998,5425
Utah,Year 1999,5657
Utah,Year 2000,5718
Utah,Year 2001,5901
Utah,Year 2002,6079
Utah,Year 2003,5873
Utah,Year 2004,5930
Utah,Year 2005,6016
Utah,Year 2006,6071
Utah,Year 2007,6183
Utah,Year 2008,6243
Utah,Year 2009,6810
Utah,Year 2010,6582
Utah,Year 2011,6326
Vermont,Year 1996,9284
Vermont,Year 1997,9395
Vermont,Year 1998,9670
Vermont,Year 1999,10132
Vermont,Year 2000,10869
Vermont,Year 2001,11557
Vermont,Year 2002,12166
Vermont,Year 2003,12692
Vermont,Year 2004,13319
Vermont,Year 2005,13808
Vermont,Year 2006,14227
Vermont,Year 2007,14760
Vermont,Year 2008,15061
Vermont,Year 2009,15548
Vermont,Year 2010,16328
Vermont,Year 2011,14707
Virginia,Year 1996,7911
Virginia,Year 1997,8052
Virginia,Year 1998,8290
Virginia,Year 1999,8532
Virginia,Year 2000,8934
Virginia,Year 2001,9193
Virginia,Year 2002,9300
Virginia,Year 2003,9496
Virginia,Year 2004,9765
Virginia,Year 2005,10248
Virginia,Year 2006,10501
Virginia,Year 2007,11062
Virginia,Year 2008,11137
Virginia,Year 2009,11256
