state,lessThanHigh,moreThanHigh
Alabama,34,8.6
Alaska,5.9,4.9
Arizona,14.1,6.5
Arkansas,14.9,9.8
California,13.7,5.4
Colorado,6.5,5
Connecticut,21.8,7.5
Delaware,26.3,7.2
District of Columbia,16.8,10.6
Florida,32.2,11.7
Georgia,15.3,6.2
Hawaii,4.1,5.8
Idaho,11.7,5.2
Illinois,14.7,3.1
Indiana,15.1,6.9
Iowa,2.9,3.1
Kansas,23.6,3.3
Kentucky,30.7,10.2
Louisiana,35.7,15.8
Maine,12,6.5
Maryland,19.1,4.3
Massachusetts,30.6,4.7
Michigan,35.8,6.8
Minnesota,5.3,2
Mississippi,31.3,12.2
Missouri,6,2
Montana,19.1,6
Nebraska,5.6,5.8
Nevada,11.6,5.2
New Hampshire,9.3,5
New Jersey,21.6,3.9
New Mexico,17.1,8.9
New York,17.4,5.2
North Carolina,26.7,7.6
North Dakota,26.8,7.1
Ohio,19.6,6.7
Oklahoma,19.8,10.9
Oregon,8.6,3.6
"Pennsylvania	",8.1,4.4
Rhode Island,17.8,5.7
South Carolina,28.8,7.6
South Dakota,27,4.3
Tennessee,25.1,7.6
Texas,18.3,8.1
Utah,0,2.5
Vermont,4.3,3.6
Virginia,19.4,6.4
Washington,6.9,4.8
West Virginia,28,10.4
Wisconsin,5.6,3.2
Wyoming,8.6,7.6
